strain_name,biotic_relationship,specific_host,project_name,Isolate,env_material,IsolateNum,SampleState,SamplePlot,SampleRep,SampleID,Media,Reps.denominator,Morpho2
Canker_81,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_81,Canker,81,WA,SE,20,WA-SE-20,1/2PDA++,3,CM-32
Canker_85,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_85,Canker,85,WA,N,18,WA-N-18,1/2PDA++,3,CM-34
Root_118,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_118,Canker,118,WA,SE,13,WA-SE-13,1/2PDA++,5,CM-36
Root_119,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_119,Canker,119,WA,SE,13,WA-SE-13,1/2PDA++,5,CM-40
Root_120,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_120,Canker,120,WA,SE,13,WA-SE-13,1/2PDA++,5,CM-32
Root_121,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_121,Canker,121,WA,SE,6,WA-SE-6,1/2PDA++,5,CM-41
Root_122,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_122,Canker,122,WA,SE,6,WA-SE-6,1/2PDA++,5,CM-42
Root_124,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_124,Root,124,WA,N,12,WA-N-12,1/2PDA++,10,WA-2-6
Root_125,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_125,Root,125,WA,N,12,WA-N-12,1/2PDA++,10,WA-2-7
Root_128,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_128,Root,128,IN,SW,12,IN-SW-12,Armillaria,10,IN-2-6
Root_129,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_129,Root,129,WA,N,1,WA-N-1,1/2PDA++,10,WA-2-8
Root_13,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_13,Root,13,IN,NE,7,IN-NE-7,1/2PDA++,10,IN-1-1
Root_132,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_132,Root,132,WA,N,1,WA-N-1,Armillaria,10,WA-2-10
Root_137,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_137,Root,137,WA,N,11,WA-N-11,1/2PDA++,10,WA-2-11
